"store","sku","qty","is_in_stock"
"admin","9153-LEARN",8.0000,"1 "
"admin","9155-LEARN",7.0000,"1 "
"admin","9162-LEARN",9.0000,"1 "
"admin","9266-LEARN",5.0000,"1 "
"admin","9400-KSTYL",3.0000,"1 "
"admin","9425-KSTYL",5.0000,"1 "
"admin","9460-KSTYL",21.0000,"1 "
"admin","9470-KSTYL",11.0000,"1 "
"admin","9475-KSTYL",16.0000,"1 "
"admin","9500-KSTYL",9.0000,"1 "
"admin","9720-LEARN",6.0000,"1 "
"admin","9730-LEARN",3.0000,"1 "
"admin","9732-LEARN",5.0000,"1 "
"admin","AIRPLANE-ISSMA",7.0000,"1 "
"admin","BATH1-3SP",1.0000,"1 "
"admin","BATH3-3SP",3.0000,"1 "
"admin","BBR-NAVY18M-UN",2.0000,"1 "
"admin","BBR-NAVY9M-UN",4.0000,"1 "
"admin","BCKBR03-MOMO-RB",3.0000,"1 "
"admin","BCKBR06-MOMO-RB",3.0000,"1 "
"admin","BCKBR12-MOMO-RB",2.0000,"1 "
"admin","BIGGYBUTTONS-MLS",1.0000,"1 "
"admin","BIN-BEAR-3SP",13.0000,"1 "
"admin","BIN-CAMEL-3SP",1.0000,"1 "
"admin","BIN01-3SP",3.0000,"1 "
"admin","BIN02-3SP",5.0000,"1 "
"admin","BIN03-3SP",2.0000,"1 "
"admin","BIN04-3SP",17.0000,"1 "
"admin","BIN05-3SP",11.0000,"1 "
"admin","BIN06-3SP",6.0000,"1 "
"admin","BIN08-3SP",1.0000,"1 "
"admin","BIN09-3SP",5.0000,"1 "
"admin","BLOSSOMS-WCARTS",10.0000,"1 "
"admin","BLUEFISH-MLS",7.0000,"1 "
"admin","BOKOL00-SM00-RB",3.0000,"1 "
"admin","BOKOL03-SM00-RB",3.0000,"1 "
"admin","BOKOL06-SM00-RB",3.0000,"1 "
"admin","BOX-DRAGON-3SP",17.0000,"1 "
"admin","BOX-PCOCK-3SP",11.0000,"1 "
"admin","BOX-UNICORN-3SP",16.0000,"1 "
"admin","BOX01-3SP",15.0000,"1 "
"admin","BOX02-3SP",18.0000,"1 "
"admin","BUS-LORALIN",1.0000,"1 "
"admin","BUTTRFLY-ISSMA",5.0000,"1 "
"admin","BW-12M-LORALIN",1.0000,"1 "
"admin","BW-3M-LORALIN",4.0000,"1 "
"admin","BW-6M-LORALIN",3.0000,"1 "
"admin","BW2150S-H2H",4.0000,"1 "
"admin","BW2154S-H2H",3.0000,"1 "
