"sku","amazon_avg_rating","amazon_review_count"
"R2B-FU-6-PLUIE",,
"R2U-FU-PLUIE",,
"R2C-FU-2-PLUIE",,
"R2C-FU-4-PLUIE",,
"R2B-FU-8-PLUIE",,
"RC-FP-1-PLUIE",4,1
"RC-FP-2-PLUIE",4,1
"RC-FP-4-PLUIE",4,1
"RB-FP-6-PLUIE",,
"RU-FP-PLUIE",5,1
"RC-CD-1-PLUIE",,
"RC-CD-2-PLUIE",,
"RC-CD-4-PLUIE",,
"RB-CD-6-PLUIE",,
"RB-CD-8-PLUIE",,
"RU-CD-PLUIE",,
"RC-CC-1-PLUIE",,
"RC-CC-2-PLUIE",,
"RC-CC-4-PLUIE",,
"RB-CC-6-PLUIE",,
"RB-CC-8-PLUIE",,
"RB-CC-1-PLUIE",,
"RU-CC-PLUIE",,
"RC-NB-1-PLUIE",,
"RC-NB-2-PLUIE",,
"RC-NB-4-PLUIE",,
"RB-NB-6-PLUIE",,
"RB-NB-8-PLUIE",,
"RB-NB-1-PLUIE",,
"RU-NB-PLUIE",,
"RC-PD-1-PLUIE",,
"RC-PD-2-PLUIE",,
"RC-PD-4-PLUIE",,
"RB-PD-6-PLUIE",5,1
"RB-PD-8-PLUIE",5,1
"RB-PD-1-PLUIE",5,1
"RU-PD-PLUIE",5,1
"RC-GP-1-PLUIE",5,1
"RC-GP-2-PLUIE",5,1
"RC-GP-4-PLUIE",5,1
"RB-GP-6-PLUIE",,
"RB-GP-8-PLUIE",,
"RB-GP-1-PLUIE",,
"RU-GP-PLUIE",,
"RC-RK-1-PLUIE",,
"RC-RK-2-PLUIE",,
"RC-RK-4-PLUIE",,
"RB-RK-6-PLUIE",,
"RB-RK-8-PLUIE",,
"RB-RK-1-PLUIE",,
"RU-RK-PLUIE",,
"R2C-NY-1-PLUIE",,
"R2C-NY-2-PLUIE",,
"R2C-NY-4-PLUIE",,
"R2B-NY-6-PLUIE",,
"R2B-NY-8-PLUIE",,
"R2B-NY-1-PLUIE",,
"R2U-NY-PLUIE",,
"RB-PS-6-PLUIE",,
"RB-PS-8-PLUIE",,
"CAD-walrus-3SP",4.7,56
"BOX-dragon-3SP",4.6,52
"BOX-pcock-3SP",4.6,52
"BOX-unicorn-3SP",4.6,52
"BIN-bear-3SP",4.6,52
"BIN-camel-3SP",4.6,52
"BIN-Owl-3SP",4.5,16
"RDM2T-EROSE",,
"RDM3T-EROSE",,
"PDO6-12M-EROSE",,
"CDP18M-EROSE",,
"CDO18M-EROSE",,
"CDO2T-EROSE",,
"KTO18M-EROSE",,
"KTO2T-EROSE",,
"KTO3T-EROSE",,
"KTG18M-EROSE",,
"KTG2T-EROSE",,
"KTG3T-EROSE",,
"MDO18M-EROSE",,
"MDO2T-EROSE",,
"MDO3T-EROSE",,
"EDLD6-12M-EROSE",,
"EDLD2T-EROSE",,
"EDLD3T-EROSE",,
"GTWCH12-RF-RB",,
"GTWCH18-RF-RB",,
"GTWCH2T-RF-RB",,
"GTWCH3T-RF-RB",,
"ONKTE-TES-RB",,
"ONKTE3-TES-RB",,
"ONKTE6-TES-RB",,
"ONKTE12-TES-RB",,
"ONKTE18-TES-RB",,
"ONMPI12-USLS-RB",,
"BCKBR3-MOMO-RB",,
"BCKBR6-MOMO-RB",,
"BCKBR12-MOMO-RB",,
"BOKOL-SM-RB",,
"BOKOL3-SM-RB",,
"BOKOL6-SM-RB",,
"P4BRS-EdgePub",,
"K4BRS-EdgePub",,
"14BRS-EdgePub",,
"2629-LEARN",4.5,274
"982-LEARN",4.6,54
"3294-LEARN",4.9,22
"9155-LEARN",4.4,88
"9266-LEARN",4.4,9
"973-LEARN",4.9,1
"9732-LEARN",4.9,18
"972-LEARN",3.8,4
"7287-LEARN",3.8,13
"977-LEARN",4.6,9
"948-LEARN",4.3,31
"721-LEARN",4.6,83
"723-LEARN",4.8,88
"727-LEARN",,
"1422-6m-Tomat",,
"1422-12m-Tomat",,
"1442-6m-Tomat",,
"1442-12m-Tomat",,
"1421-6m-Tomat",,
"1421-12m-Tomat",,
"1441-6m-Tomat",,
"1441-12m-Tomat",,
"131-12m-Tomat",,
"82-2T-Tomat",,
"1411-12m-Tomat",,
"1411-2T-Tomat",,
"114-12m-Tomat",,
"114-2T-Tomat",,
"911-12m-Tomat",,
"911-2T-Tomat",,
"LimBwlr2y-CB",,
"LimBwlr3y-CB",,
"MstBwlr2y-CB",,
"MstBwlr3y-CB",,
"LimBrtch2yA-CB",,
"LimBrtch3yA-CB",,
"LimBrtch3yWhl-CB",,
"MstBrtch2yC-CB",,
"MstBrtch3yC-CB",,
"CrlBrtch2yB-CB",,
"CrlBrtch3yB-CB",,
"MstBrtch3yWhl-CB",,
"CrlBlmr1yTrtl-CB",,
"CrlBlmr1yB-CB",,
"CrlBlmr1yBrd-CB",,
"CrlBlmr1yC-CB",,
"LimBlmr1yA-CB",,
"MstBxr1yi-CB",,
"MstBxr2yi-CB",,
"MstBxr2ySea-CB",,
"MstBxr1yW-CB",,
"MstBxr2yW-CB",,
"MstBxr2yWhl-CB",,
"35NFE1S-EdgePub",,
"36TFE1S-EdgePub",,
"36WFC1S-EdgePub",,
"47AFW1S-EdgePub",,
"I2-821-36-NB-UN",,
"I2-821-37-NB-UN",,
"I2-822-36-NB-UN",,
"I2-822-37-NB-UN",,
"I2-819-36-NB-UN",,
"I2-819-37-NB-UN",,
"I2-776-273-BU-UN",,
"I2-775-273-TG-UN",,
"I2-713-273-TG-UN",,
"I2-836-34-TG-UN",,
"BBR-Navy9m-UN",,
"BBR-Navy18m-UN",,
"RWL-Navy-9mo-UN",,
"RWL-Navy-18mo-UN",,
"SH-Wht-12mo-UN",,
"SH-Wht-18mo-UN",,
"2PCPOPLINWHT-12M-UN",,
"2PCPOPLINWHT-18M-UN",,
"2PCPOPLINWHT-24M-UN",,
"I1-816-35-TG-UN",,
"RDBlmr-Wht-6mo-UN",,
"RDBlmr-Wht-9mo-UN",,
"SHFloral-Pnk-12mo-UN",,
"SHFloral-Pnk-24mo-UN",,
"mbb14+mbn1-mixie",,
"mbb18+mbn2-mixie",5,1
"Bundle-FU-PLUIE",,
"SSFOX1ZNAT-CLK",,
